target,text
0,"Re: [ILUG] Architecture crossover trouble w RH7.2 (solved) Message-Id: <20020727142749.B4438@Hobbiton.cod.ie> Mail-Followup-To: ILUG main list <ilug@linux.ie> References: <0D443C91DCE9CD40B1C795BA222A729E018854FA@milexc01.maxtor.com> MIME-Version: 1.0 Content-Type: text/plain; charset=us-ascii Content-Disposition: inline User-Agent: Mutt/1.2.5i In-Reply-To: <0D443C91DCE9CD40B1C795BA222A729E018854FA@milexc01.maxtor.com>; from conor_wynne@maxtor.com on Fri, Jul 26, 2002 at 03:56:22PM +0100 Sender: ilug-admin@linux.ie Errors-To: ilug-admin@linux.ie X-Mailman-Version: 1.1 Precedence: bulk List-Id: Irish Linux Users' Group <ilug.linux.ie> X-Beenthere: ilug@linux.ie On Fri, Jul 26, 2002 at 03:56:22PM +0100 or so it is rumoured hereabouts, Wynne, Conor thought: > Surely it would be faster to save you conf files, install it on the box > again, copy back you confs and voila. > All you car about are the confs as the boite has no DATA right? Yeah, but then I'd have to remember _exactly_ which confs I'd modified and they're not all in /etc either... > Thats what I would do, but you sysadmins have to make life as difficult & > complicated as possible ;--) Yup... In this case, I had two issues. 1. I mirrored the disk to give to someone else to work on but the box he has available has only a P1 or P2 processor. 2. My celeron box has been crashing the backup software so I wanted to try out the backup in a different box to make sure it's hardware related. Again, it's also an interesting exercise... > Have you thought about mirroring the system drives? Might save you serious > hassle down the line. Oh, I'm doing that too. This is going to Africa so I'm aiming for as robust as possible with belt, braces and probably an all-in-one jumpsuit! I'll be mirroring the disk but that is worth only so much (eg. lightning strike taking out the disk(s) or system compromise) I'm also going for a backup to CDR with an automated restore http://www.mondorescue.org . The admin out there wouldn't be able to build the system again if the mobo got fried and the replacement was the wrong arch but an i386 compatible install will mean just dropping in the HD and booting (ish)... Conor -- Conor Daly <conor.daly@oceanfree.net> Domestic Sysadmin :-) --------------------- Faenor.cod.ie 2:32pm up 64 days, 23:49, 0 users, load average: 0.00, 0.00, 0.00 Hobbiton.cod.ie 2:19pm up 7 days, 20:56, 1 user, load average: 0.05, 0.02, 0.00 -- Irish Linux Users' Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information. List maintainer: listmaster@linux.ie"
1,"Cash in on your home equity Date: Tue, 04 Jun 2002 00:18:34 -1600 MIME-Version: 1.0 Content-Type: text/plain; charset=""Windows-1252"" X-Keywords: Content-Transfer-Encoding: 7bit Mortgage Lenders & Brokers Are Ready to compete for your business. Whether a new home loan is what you seek or to refinance your current home loan at a lower interest rate, we can help! Mortgage rates haven't been this low in years take action now! Refinance your home with us and include all of those pesky credit card bills or use the extra cash for that pool you've always wanted... Where others say NO, we say YES!!! Even if you have been turned down elsewhere, we can help! Easy terms! Our mortgage referral service combines the highest quality loans with the most economical rates and the easiest qualifications! Take just 2 minutes to complete the following form. There is no obligation, all information is kept strictly confidential, and you must be at least 18 years of age. Service is available within the United States only. This service is fast and free. Free information request form: PLEASE VISIT http://builtit4unow.com/pos **************************************************************** Since you have received this message you have either responded to one of our offers in the past or your address has been registered with us. If you wish to ""OPT_OUT"" please visit: http://builtit4unow.com/pos ****************************************************************"
1,"Are Your Mortgage Rates The Best They Can Be........ 0922LkVT8-113rFxd3342c-21 MIME-Version: 1.0 Content-Type: text/plain; charset=""us-ascii"" X-Priority: 3 (Normal) X-Msmail-Priority: Normal X-Mailer: Microsoft Outlook Express 5.50.4522.1200 Importance: Normal Sender: fork-admin@xent.com Errors-To: fork-admin@xent.com X-Beenthere: fork@spamassassin.taint.org X-Mailman-Version: 2.0.11 Precedence: bulk List-Help: <mailto:fork-request@xent.com?subject=help> List-Post: <mailto:fork@spamassassin.taint.org> List-Subscribe: <http://xent.com/mailman/listinfo/fork>, <mailto:fork-request@xent.com?subject=subscribe> List-Id: Friends of Rohit Khare <fork.xent.com> List-Unsubscribe: <http://xent.com/mailman/listinfo/fork>, <mailto:fork-request@xent.com?subject=unsubscribe> List-Archive: <http://xent.com/pipermail/fork/> Date: Fri, 26 Jul 0102 18:03:12 +0900 Content-Transfer-Encoding: 8bit Dear Homeowner, Interest Rates are at their lowest point in 40 years! We help you find the best rate for your situation by matching your needs with hundreds of lenders! Home Improvement, Refinance, Second Mortgage, Home Equity Loans, and much, much more! You're eligible even with less than perfect credit! This service is 100% FREE to home owners and new home buyers without any obligation. Where others say NO, we say YES!!! http://www243.wiildaccess.com Take just 2 minutes to complete the following form. There is no obligation, all information is kept strictly confidential, and you must be at least 18 years of age. Service is available within the United States only. This service is fast and free. http://www243.wiildaccess.com +++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++ To opt out: http://www243.wiildaccess.com/optout.html 8960ryoE6-752DjSn8958wQDd4-522UPqi8940xzrR4-094LKl46 http://xent.com/mailman/listinfo/fork"
1,"Online Approval for $5000 Now MIME-Version: 1.0 X-Keywords: Content-Type: text/html; charset=us-ascii Content-Transfer-Encoding: 7bit <HTML><HEAD><TITLE>Free Card Search</TITLE> <META HTTP-EQUIV=""Content-Type"" CONTENT=""text/html; charset=iso-8859-1""> </HEAD><BODY BGCOLOR=""#000000""><div align=""center""> <a href=""http://mbf.%61%66%66%69%6c%69%61%74%65%6e%65%74%74%2e%63%6f%6d/fcard/""> <IMG SRC=""http://mbf.%61%66%66%69%6c%69%61%74%65%6e%65%74%74%2e%63%6f%6d/fcard/ad/new_fcard.jpg"" WIDTH=523 HEIGHT=373 border=""0""></a> </div><TABLE WIDTH=523 BORDER=0 CELLPADDING=0 CELLSPACING=0 align=""center""> <TR><td colspan=7 align=left><br><font color=""white"" size=""1"" face=""arial""> Sincerely,<BR><B>Your New Offers Staff</B><BR></FONT> <FONT SIZE=""-2""><A HREF=""mailto:montage@btamail.net.cn?subject=Remove"">Remove</A></FONT> </td></tr></TABLE></BODY></HTML>"
0,"Re: [ILUG] expanding a string multiple times Message-Id: <20020817220711.H29114@prodigy.Redbrick.DCU.IE> References: <3D5D27B9.9080009@corvil.com> <20020817100644.GA29167@chewie.compsoc.com> MIME-Version: 1.0 Content-Type: text/plain; charset=us-ascii Content-Disposition: inline User-Agent: Mutt/1.2.5i In-Reply-To: <20020817100644.GA29167@chewie.compsoc.com>; from kor@compsoc.com on Sat, Aug 17, 2002 at 11:06:44AM +0100 Sender: ilug-admin@linux.ie Errors-To: ilug-admin@linux.ie X-Mailman-Version: 1.1 Precedence: bulk List-Id: Irish Linux Users' Group <ilug.linux.ie> X-Beenthere: ilug@linux.ie Kevin O' Riordan's [kor@compsoc.com] 30 lines of wisdom included: > > On Pungenday, the 9th day of Bureaucracy, Padraig Brady confessed: > > How can I repeat a string an arbitrary number > > of times in bash/sed/... > > > > I.E. I'm missing the repeat in the following: > > > > STRING=""> "" > > NUMBER=3 > > PREFIX=repeat $STRING $NUMBER > > echo $PREFIX > > > > > > > > perl ? > > STRING=""> "" > NUMBER=3 > PREFIX=`perl -e ""print '$STRING' x $NUMBER;""` > echo $PREFIX > > I'm pretty sure the bsd 'jot' utility can do this too, but I don't > have it to hand. I didn't think that jot was installed on Linux systems by default, so from the tone of Padraigs mail that's not what he wanted, however, if I'm incorrect (don't have a Linux system to hand) the following is the syntax. jot -b ""string"" 3 Phil. -- Philip Reynolds RFC Networks tel: 01 8832063 www.rfc-networks.ie fax: 01 8832041 -- Irish Linux Users' Group: ilug@linux.ie http://www.linux.ie/mailman/listinfo/ilug for (un)subscription information. List maintainer: listmaster@linux.ie"
1,"Half Price Cigarettes and Tobacco To: zzzz@dogma.slashnull.org Sender: Sales Department <tobaccodemon@terra.es> Reply-To: tobaccodemon@terra.es Date: Sat, 7 Sep 2002 14:36:20 +0200 X-Priority: 3 X-Library: Indy 8.0.25 Dear Sir or Madam In the past you have requested information on discounted products. We hope that you find this of interest. If you are not a smoker, and find this email offensive, we sincerely apologise! We will be only too happy to take you off our mailing list. If you are a smoker, however, and are fed up with paying high prices for your cigarettes and tobacco, take a look at what we have to offer by clicking on this link. http://www.smokersunited.co.uk/?S=24&ID=2 We can send you, legally, by registered air mail, direct to your door, 4 cartons of cigarettes or 40 pouches of rolling tobacco (all brands are available) from only 170 Euros - about 105 pounds - fully inclusive of postage and packing. Why pay more? To remove yourself from our mailing list, please click below mailto:smokersclub@terra.es Yours faithfully. Smokers United http://www.smokersunited.co.uk/?S=24&ID=2 xay1y"
1,"Notice Date: Fri, 29 Jun 2001 19:18:36 -0400 MIME-Version: 1.0 Content-Transfer-Encoding: 7bit X-Priority: 3 X-Msmail-Priority: Normal We are Loan Specialists.....Tap into our huge network of Lenders! For U.S.A. Homeowners Only Interest Rates have Dropped....Start Saving Now! We Will Shop The Best Loan For You! Are you in debt? Need extra cash? We can get you the loan you need. Regardless of whether you have good or bad credit, we can help you.We specialize in First and Second Mortgages, including loans that other lenders turn down. Funding borrowers with less than perfect credit is our specialty. We have loan programs that are unheard of. CLICK HERE FOR ALL DETAILS http://membres.tripod.fr/zapote24/ =================================================================== REMOVAL INSTRUCTIONS: You may automatically remove yourself from any future mailings by clicking here. mailto:geoposti@uole.com?subject=delete-mort"
0,"Sylpheed with GNOME 2 (was Re: Ximian apt repos?) Message-Id: <20020725110700.3797c42e.matthias@egwn.net> In-Reply-To: <1027579516.15921.18.camel@localhost.localdomain> References: <20020724.FRs.59646600@www.dudex.net> <1027537563.18947.12.camel@fuggles> <1027579516.15921.18.camel@localhost.localdomain> Organization: Electronic Group Interactive X-Mailer: Sylpheed version 0.8.0claws (GTK+ 1.2.10; i386-redhat-linux) Reply-BY: Tue, 24 Jul 2000 19:02:00 +1000 X-Operating-System: GNU/Linux power! X-Message-Flag: Try using a real operating system : GNU/Linux power! MIME-Version: 1.0 Content-Type: text/plain; charset=US-ASCII Content-Transfer-Encoding: 7bit X-Mailscanner: Found to be clean, Found to be clean Sender: rpm-zzzlist-admin@freshrpms.net Errors-To: rpm-zzzlist-admin@freshrpms.net X-Beenthere: rpm-zzzlist@freshrpms.net X-Mailman-Version: 2.0.11 Precedence: bulk Reply-To: rpm-zzzlist@freshrpms.net List-Help: <mailto:rpm-zzzlist-request@freshrpms.net?subject=help> List-Post: <mailto:rpm-zzzlist@freshrpms.net> List-Subscribe: <http://lists.freshrpms.net/mailman/listinfo/rpm-zzzlist>, <mailto:rpm-list-request@freshrpms.net?subject=subscribe> List-Id: Freshrpms RPM discussion list <rpm-zzzlist.freshrpms.net> List-Unsubscribe: <http://lists.freshrpms.net/mailman/listinfo/rpm-zzzlist>, <mailto:rpm-list-request@freshrpms.net?subject=unsubscribe> List-Archive: <http://lists.freshrpms.net/pipermail/rpm-zzzlist/> X-Original-Date: Thu, 25 Jul 2002 11:07:00 +0200 Date: Thu, 25 Jul 2002 11:07:00 +0200 Once upon a time, Lance wrote : > Well, from the looks of things, I can import all my mail settings from > Evolution to Sylpheed. Has anyone successfully run Sylpheed in Gnome > 2.0? I noticed with 'apt-get install gnome-session' from the 'rpm > http://apt.sunnmore.net gnome2 73' repository, Sylpheed isn't one of the > packages selected for deletion. I think that's simply because Sylpheed isn't a GNOME application, but a ""simple"" gtk+ one. It needs no GNOME libs at all, so upgrading to GNOME 2 but keeping gtk+ 1.2 will let you keep Sylpheed with no problem. Matthias PS : Expect 0.8.1 on freshrpms.net in a few minutes ;-) -- Matthias Saou World Trade Center ------------- Edificio Norte 4 Planta System and Network Engineer 08039 Barcelona, Spain Electronic Group Interactive Phone : +34 936 00 23 23 _______________________________________________ RPM-List mailing list <RPM-List@freshrpms.net> http://lists.freshrpms.net/mailman/listinfo/rpm-list"
0,"Re: curses interface to nmh In-Reply-To: <4058.1028618719@kanga.nu> References: <20020806014000.48D429E@whatexit.org> <4058.1028618719@kanga.nu> Comments: In-reply-to J C Lawrence <claw@kanga.nu> message dated ""Tue, 06 Aug 2002 00:25:19 -0700"" Message-Id: <12948.1028698735@sss.pgh.pa.us> From: Tom Lane <tgl@sss.pgh.pa.us> X-Loop: exmh-users@spamassassin.taint.org Sender: exmh-users-admin@spamassassin.taint.org Errors-To: exmh-users-admin@spamassassin.taint.org X-Beenthere: exmh-users@spamassassin.taint.org X-Mailman-Version: 2.0.1 Precedence: bulk Reply-To: exmh-users@spamassassin.taint.org List-Help: <mailto:exmh-users-request@spamassassin.taint.org?subject=help> List-Post: <mailto:exmh-users@spamassassin.taint.org> List-Subscribe: <https://listman.spamassassin.taint.org/mailman/listinfo/exmh-users>, <mailto:exmh-users-request@redhat.com?subject=subscribe> List-Id: Discussion list for EXMH users <exmh-users.spamassassin.taint.org> List-Unsubscribe: <https://listman.spamassassin.taint.org/mailman/listinfo/exmh-users>, <mailto:exmh-users-request@redhat.com?subject=unsubscribe> List-Archive: <https://listman.spamassassin.taint.org/mailman/private/exmh-users/> Date: Wed, 07 Aug 2002 01:38:55 -0400 J C Lawrence <claw@kanga.nu> writes: > Tom Reingold <noglider@pobox.com> wrote: >> Years ago, there was a package called mh-e which was an emacs >> interface to MH. I don't know if it's still around or works. But >> it's an idea. > Its still around, its actively maintained, and its quite well evolved. I useta use mh-e regularly, but I never figured out whether it could handle exmh's multidrop mechanism, which is something I've grown to rely on. Does that work in recent mh-e versions? I'd love to use mh-e when reading mail remotely, if it can handle my multiple-inbox- folders setup... regards, tom lane _______________________________________________ Exmh-users mailing list Exmh-users@redhat.com https://listman.redhat.com/mailman/listinfo/exmh-users"
1,"Qualified Potential Clients For Your Industry Date: Mon, 22 Jul 2002 18:47:28 -1900 MIME-Version: 1.0 X-Mailer: Microsoft Outlook Express Content-Type: text/html; charset=""iso-8859-1"" Content-Transfer-Encoding: quoted-printable <HTML> <HEAD><TITLE>Online Marketing Strategies</TITLE><META http-equiv=3DContent= -Type content=3D""text/html; charset=3Dwindows-1252""><META content=3D""MSHTML 5.50.4134.100"" name=3DGENE= RATOR><META content=3DFrontPage.Editor.Document name=3DProgId> </HEAD><BODY vLink=3D#c0c0c0 link=3D#c0c0c0 bgColor=3D#FFFFFF leftMarg= in=3D0> <DIV align=3Dcenter><CENTER><TABLE height=3D0 cellSpacing=3D0 cellPad= ding=3D0 width=3D500 border=3D0> <TBODY><TR><TD width=3D""100%"" height=3D200><P align=3Dcenter> <FONT face=3D""Georgia, Times New Roman"" size=3D7> <B><FONT color=3D#08296b>Need More Clients?</FONT></B></FONT></P><P align= =3Dcenter> <FONT face=3D""Times New Roman"" size=3D5><B><FONT color=3D#ff0000> Increase Your Sales 15%-40% Every Month!</FONT></B> <HR> <FONT color=3D#ff0000><B><FONT face=3D""Times, New Roman"" color=3D#08296b s= ize=3D3> Targeted E-mail Marketing Is A Proven Method For Return Sales<br> </FONT></B> <FONT color=3D#000000 size=3D3> With a database of over 150 million ""targeted"" addresses, we can reach y= our potential clients anywhere in the world. Our staff creates interactive ad campaigns, spec= ifically targeted to your client base, and designed to produce staggering responses for your = business. A steady lead source can make sure your sales team will consistently close deals. </FONT> <P> <FONT face=3D""Times, New Roman"" size=3D3><B><FONT color=3D#08296b>The G= reatest Return On Your Marketing Dollar</FONT></B> <FONT color=3D#000000><BR><FONT size=3D3>Targeted e-mail marketing is the = most effective way to reach global and local markets with a small expense compared to that of conventi= onal marketing. Quality work and a dedicated professional staff will ensure your ad campai= gn to be successful. Put our educated team of marketers to work for you.<br><br></B></FONT></p>= </tr></td></tbody> <P> <TABLE width=3D400 border=3D0> <TBODY> <TR> <TD align=3Dmiddle><FONT color=3D#08296b size=3D4>Fill out the form be= low to speak with one <br>of our marketing specialists.</FONT></TD></TR></TBODY></TABLE= > <P><FONT color=3D#08296b size=3D2>Required Input Field<FONT color=3D#ff000= 0 size=3D2>*</FONT></FONT> <P> <TABLE cellSpacing=3D0 borderColorDark=3D#333300 cellPadding=3D3 width=3D6= 00 borderColorLight=3D#ffffcc> <TBODY> <TR> <TD align=3Dmiddle> <FORM action=3Dmailto:inbocks1811@firemail.de?subject=3DE-marketing_= Inquiry method=3Dpost encType=3Dtext/plain> <TABLE width=3D""100%""> <TBODY> <TR> <TD align=3Dright width=3D""50%""><FONT face=3D""Times, New Roman"" color=3D#08296b size=3D2>Name</FONT><FONT face=3D""Arial, Helvetica, sans-serif"" color=3D#ff0000 size=3D2>*</FONT></TD> <TD><INPUT name=3DNAME></TD></TR> <TR> <TD align=3Dright width=3D""50%""><FONT face=3D""Times, New Roman"" color=3D#08296b size=3D2>Web Address</FONT></TD> <TD><INPUT value=3Dhttp:// name=3DURL></TD></TR> <TR> <TD align=3Dright width=3D""50%""><FONT face=3D""Times, New Roman"" color=3D#08296b size=3D2>Company Name</FONT><FONT face=3D""Times, New Roman"" color=3D#ff0000 size=3D2>*</FONT></TD> <TD><INPUT name=3DCOMPANY_NAME></TD></TR> <TR> <TD align=3Dright width=3D""50%""><FONT face=3D""Times, New Roman"" color=3D#08296b size=3D2> State</FONT><FONT face=3D""Arial, Helvetica, sans-serif"" color=3D#ff0000 size=3D2>*</FONT></TD> <TD><INPUT size=3D2 name=3DSTATE></TD></TR> <TR> <TD align=3Dright width=3D""50%""><FONT face=3D""Times, New Roman"" color=3D#08296b size=3D2>Business Phone</FONT><FONT face=3D""Arial, Helvetica, sans-serif"" color=3D#ff0000 size=3D2>*</FONT></TD> <TD><INPUT name=3DBUS_PHONE></TD></TR> <TR> <TD align=3Dright width=3D""50%""><FONT face=3D""Times, New Roman"" color=3D#08296b size=3D2>Home Phone</FONT></TD> <TD><INPUT name=3DHOME_PHONE></TD></TR> <TR> <TD align=3Dright width=3D""50%""><FONT face=3D""Times, New Roman"" color=3D#08296b size=3D2>Email Address</FONT><FONT face=3D""Arial, Helvetica, sans-serif"" color=3D#ff0000 size=3D2>*</FONT></TD> <TD><INPUT name=3DEMAIL></TD></TR> <TR> <TD align=3Dright width=3D""50%""><FONT face=3D""Times, New Roman"" color=3D#08296b size=3D2>Type of Business</FONT></TD> <TD><INPUT name=3DTYPE_OF_BUSINESS></TD></TR></TBODY></TABLE> <P><INPUT type=3Dsubmit value=3D""Submit Information"" name=3Dsubmit> </FORM></P></TD></TR></TBODY></TABLE> <BR><BR> <TABLE width=3D500> <TBODY> <TR> <TD align=3Dmiddle><FONT face=3D""Times, New Roman"" color=3D#08296b size=3D1>To be removed, please <A href=3D""mailto:d_lete106@lycos.co.uk?subject=3DRemove_E-marketing= "">Click here.<FONT color=3D#666600></A></FONT>.</FONT></TD></TR></TBODY></TA= BLE></P></CENTER></BODY></HTML>"
